         functype[192]=LJ_SR, c6= 2.12945597e-04, c12= 4.71874166e-08
         functype[193]=LJ_SR, c6= 4.67791950e-04, c12= 2.27716413e-07
         functype[194]=LJ_SR, c6= 2.32490594e-03, c12= 2.40325721e-06
         functype[195]=LJ_SR, c6= 2.36347318e-03, c12= 1.58938974e-06
         functype[196]=LJ_SR, c6= 2.36347318e-03, c12= 1.58938974e-06
         functype[197]=LJ_SR, c6= 5.71900637e-05, c12= 6.51430743e-10
         functype[198]=LJ_SR, c6= 3.85424675e-04, c12= 1.54585194e-07
         functype[199]=LJ_SR, c6= 4.33380686e-04, c12= 1.99954940e-07
         functype[200]=LJ_SR, c6= 2.63297977e-03, c12= 1.97065583e-06
         functype[201]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[202]=LJ_SR, c6= 4.61784564e-03, c12= 5.56093164e-06
         functype[203]=LJ_SR, c6= 2.62219529e-03, c12= 2.71056524e-06
         functype[204]=LJ_SR, c6= 4.67791950e-04, c12= 2.27716413e-07
         functype[205]=LJ_SR, c6= 2.32490594e-03, c12= 2.40325721e-06
         functype[206]=LJ_SR, c6= 2.36347318e-03, c12= 1.58938974e-06
         functype[207]=LJ_SR, c6= 2.83348933e-03, c12= 2.53896906e-06
         functype[208]=LJ_SR, c6= 3.85424675e-04, c12= 1.54585194e-07
         functype[209]=LJ_SR, c6= 4.33380686e-04, c12= 1.99954940e-07
         functype[210]=LJ_SR, c6= 4.61784564e-03, c12= 5.56093164e-06
         functype[211]=LJ_SR, c6= 2.12945597e-04, c12= 4.71874166e-08
         functype[212]=LJ_SR, c6= 6.42265586e-05, c12= 4.29257740e-09
         functype[213]=LJ_SR, c6= 3.09149269e-03, c12= 2.55029636e-06
         functype[214]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[215]=LJ_SR, c6= 3.89968336e-04, c12= 3.76753320e-07
         functype[216]=LJ_SR, c6= 8.76987397e-05, c12= 8.89530316e-09
         functype[217]=LJ_SR, c6= 3.92294794e-07, c12= 5.85698102e-13
         functype[218]=LJ_SR, c6= 8.63071400e-05, c12= 1.07394778e-08
         functype[219]=LJ_SR, c6= 3.17116360e-06, c12= 3.82724234e-11
         functype[220]=LJ_SR, c6= 1.08556287e-05, c12= 4.48496101e-10
         functype[221]=LJ_SR, c6= 7.65221412e-05, c12= 9.52189794e-09
         functype[222]=LJ_SR, c6= 6.42265586e-05, c12= 4.29257740e-09
         functype[223]=LJ_SR, c6= 5.71900637e-05, c12= 6.51430743e-10
         functype[224]=LJ_SR, c6= 3.92294794e-07, c12= 5.85698102e-13
         functype[225]=LJ_SR, c6= 8.08551067e-06, c12= 2.48807586e-10
         functype[226]=LJ_SR, c6= 9.78485605e-06, c12= 3.72787828e-10
         functype[227]=LJ_SR, c6= 7.51872285e-05, c12= 5.87710902e-09
         functype[228]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[229]=LJ_SR, c6= 1.61949531e-04, c12= 2.50142733e-08
         functype[230]=LJ_SR, c6= 8.63071400e-05, c12= 1.07394778e-08
         functype[231]=LJ_SR, c6= 1.08556287e-05, c12= 4.48496101e-10
         functype[232]=LJ_SR, c6= 7.65221412e-05, c12= 9.52189794e-09
         functype[233]=LJ_SR, c6= 6.42265586e-05, c12= 4.29257740e-09
         functype[234]=LJ_SR, c6= 8.76987397e-05, c12= 8.89530316e-09
         functype[235]=LJ_SR, c6= 8.08551067e-06, c12= 2.48807586e-10
         functype[236]=LJ_SR, c6= 9.78485605e-06, c12= 3.72787828e-10
         functype[237]=LJ_SR, c6= 1.61949531e-04, c12= 2.50142733e-08
         functype[238]=LJ_SR, c6= 3.17116360e-06, c12= 3.82724234e-11
         functype[239]=LJ_SR, c6= 3.92294794e-07, c12= 5.85698102e-13
         functype[240]=LJ_SR, c6= 9.22487307e-05, c12= 8.30490698e-09
         functype[241]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[242]=LJ_SR, c6= 1.24705311e-05, c12= 1.40905565e-09
         functype[243]=LJ_SR, c6= 4.73845692e-04, c12= 2.59685635e-07
         functype[244]=LJ_SR, c6= 8.08551067e-06, c12= 2.48807586e-10
         functype[245]=LJ_SR, c6= 4.43824916e-04, c12= 2.83996542e-07
         functype[246]=LJ_SR, c6= 3.10867872e-05, c12= 3.67790420e-09
         functype[247]=LJ_SR, c6= 7.40353134e-05, c12= 2.08605879e-08
         functype[248]=LJ_SR, c6= 3.93506663e-04, c12= 2.51798667e-07
         functype[249]=LJ_SR, c6= 3.85424675e-04, c12= 1.54585194e-07
         functype[250]=LJ_SR, c6= 3.85424675e-04, c12= 1.54585194e-07
         functype[251]=LJ_SR, c6= 8.08551067e-06, c12= 2.48807586e-10
         functype[252]=LJ_SR, c6= 5.98627703e-05, c12= 1.36383660e-08
         functype[253]=LJ_SR, c6= 6.82375685e-05, c12= 1.81300894e-08
         functype[254]=LJ_SR, c6= 4.33488312e-04, c12= 1.95357629e-07
         functype[255]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[256]=LJ_SR, c6= 7.91460392e-04, c12= 5.97429846e-07
         functype[257]=LJ_SR, c6= 4.43824916e-04, c12= 2.83996542e-07
         functype[258]=LJ_SR, c6= 7.40353134e-05, c12= 2.08605879e-08
         functype[259]=LJ_SR, c6= 3.93506663e-04, c12= 2.51798667e-07
         functype[260]=LJ_SR, c6= 3.85424675e-04, c12= 1.54585194e-07
         functype[261]=LJ_SR, c6= 4.73845692e-04, c12= 2.59685635e-07
         functype[262]=LJ_SR, c6= 5.98627703e-05, c12= 1.36383660e-08
         functype[263]=LJ_SR, c6= 6.82375685e-05, c12= 1.81300894e-08
         functype[264]=LJ_SR, c6= 7.91460392e-04, c12= 5.97429846e-07
         functype[265]=LJ_SR, c6= 3.10867872e-05, c12= 3.67790420e-09
         functype[266]=LJ_SR, c6= 8.08551067e-06, c12= 2.48807586e-10
         functype[267]=LJ_SR, c6= 5.13326493e-04, c12= 2.57158803e-07
         functype[268]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[269]=LJ_SR, c6= 6.56322736e-05, c12= 3.90295156e-08
         functype[270]=LJ_SR, c6= 5.29074110e-04, c12= 3.31215972e-07
         functype[271]=LJ_SR, c6= 9.78485605e-06, c12= 3.72787828e-10
         functype[272]=LJ_SR, c6= 4.93894273e-04, c12= 3.59800595e-07
         functype[273]=LJ_SR, c6= 3.60611084e-05, c12= 5.06326892e-09
         functype[274]=LJ_SR, c6= 8.39481290e-05, c12= 2.74394178e-08
         functype[275]=LJ_SR, c6= 4.37899434e-04, c12= 3.19008478e-07
         functype[276]=LJ_SR, c6= 4.33380686e-04, c12= 1.99954940e-07
